2025,02-Aug-20,A9
2025,03-Aug-20,A9
2025,04-Aug-20,1I
2025,05-Aug-20,1I
2025,06-Aug-20,1I
2025,07-Aug-20,1I
2025,08-Aug-20,X
2025,09-Aug-20,7A
2025,10-Aug-20,1I
2025,11-Aug-20,1I
2025,12-Aug-20,1I
2025,13-Aug-20,1I
2025,14-Aug-20,1I
2025,15-Aug-20,X
2025,16-Aug-20,7A
2025,17-Aug-20,1I
2025,18-Aug-20,1I
2025,19-Aug-20,1I
2025,20-Aug-20,1I
2025,21-Aug-20,1I
2025,22-Aug-20,X
2025,23-Aug-20,7A
2025,24-Aug-20,1I
2025,25-Aug-20,1I
2025,26-Aug-20,1I
2025,27-Aug-20,1I
2025,28-Aug-20,1I
2025,29-Aug-20,X
2025,30-Aug-20,7A
2025,31-Aug-20,1I
30019,02-Aug-20,1I
30019,03-Aug-20,1I
30019,04-Aug-20,X
30019,05-Aug-20,R1
30019,06-Aug-20,J1
30019,07-Aug-20,J1
30019,08-Aug-20,1I
30019,09-Aug-20,1I
30019,10-Aug-20,1I
30019,11-Aug-20,X
30019,12-Aug-20,J1
30019,13-Aug-20,J1
30019,14-Aug-20,1I
30019,15-Aug-20,1I
30019,16-Aug-20,1I
30019,17-Aug-20,1I
30019,18-Aug-20,X
30019,19-Aug-20,J1
30019,20-Aug-20,J1
30019,21-Aug-20,1I
30019,22-Aug-20,1I
30019,23-Aug-20,1I
30019,24-Aug-20,1I
30019,25-Aug-20,X
30019,26-Aug-20,J1
30019,27-Aug-20,J1
30019,28-Aug-20,1I
30019,29-Aug-20,1I
30019,30-Aug-20,1I
30019,31-Aug-20,1I
105,02-Aug-20,X
105,03-Aug-20,7A
105,04-Aug-20,7A
105,05-Aug-20,7A
105,06-Aug-20,7A
105,07-Aug-20,7A
105,08-Aug-20,7A
105,09-Aug-20,X
105,10-Aug-20,7A
105,11-Aug-20,7A
105,12-Aug-20,7A
105,13-Aug-20,7A
105,14-Aug-20,7A
105,15-Aug-20,7A
105,16-Aug-20,X
105,17-Aug-20,7A
105,18-Aug-20,7A
105,19-Aug-20,7A
105,20-Aug-20,7A
105,21-Aug-20,7A
105,22-Aug-20,7A
105,23-Aug-20,X
105,24-Aug-20,7A
105,25-Aug-20,7A
105,26-Aug-20,7A
105,27-Aug-20,7A
105,28-Aug-20,7A
105,29-Aug-20,7A
105,30-Aug-20,X
105,31-Aug-20,7A
18187,02-Aug-20,J1
18187,03-Aug-20,J1
18187,04-Aug-20,J1
18187,05-Aug-20,R1
18187,06-Aug-20,X
18187,07-Aug-20,J1
18187,08-Aug-20,J1
18187,09-Aug-20,J1
18187,10-Aug-20,J1
18187,11-Aug-20,J1
18187,12-Aug-20,J1
18187,13-Aug-20,X
18187,14-Aug-20,J1
18187,15-Aug-20,J1
18187,16-Aug-20,J1
18187,17-Aug-20,J1
18187,18-Aug-20,J1
18187,19-Aug-20,J1
18187,20-Aug-20,X
18187,21-Aug-20,J1
18187,22-Aug-20,J1
18187,23-Aug-20,J1
18187,24-Aug-20,J1
18187,25-Aug-20,J1
18187,26-Aug-20,J1
18187,27-Aug-20,X
18187,28-Aug-20,J1
18187,29-Aug-20,J1
18187,30-Aug-20,J1
18187,31-Aug-20,J1
